uniqID,strain,cmpd,dose,time,rep,value,peptides
g0001,WT,drugA,40,8,2,159.7325,
g0001,WT,drugA,40,8,3,156.6255,
g0001,WT,drugA,80,8,1,188.423,
g0001,WT,drugA,80,8,2,188.0174,
g0001,WT,drugA,80,8,3,209.1374,
g0001,WT,drugB,1.25,8,1,127.4357,
g0001,WT,drugB,1.25,8,2,125.1021,
g0001,WT,drugB,1.25,8,3,134.3982,
g0001,WT,drugB,2.5,8,1,111.1071,
g0001,WT,drugB,2.5,8,2,123.1537,
g0001,WT,drugB,2.5,8,3,105.0402,
g0001,WT,drugB,5,8,1,123.8256,
g0001,WT,drugB,5,8,2,140.2968,
g0001,WT,drugB,5,8,3,115.4721,
g0001,WT,drugB,10,8,1,115.8871,
g0001,WT,drugB,10,8,2,120.8967,
g0001,WT,drugB,10,8,3,146.1291,
g0001,WT,drugB,20,8,1,134.6065,
g0001,WT,drugB,20,8,2,143.0222,
g0001,WT,drugB,20,8,3,116.4434,
g0001,WT,drugB,40,8,1,162.5985,
g0001,WT,drugB,40,8,2,161.9765,
g0001,WT,drugB,40,8,3,135.3105,
g0001,WT,drugB,80,8,1,245.4193,
g0001,WT,drugB,80,8,2,178.1541,
g0001,WT,drugB,80,8,3,194.0816,
g0001,WT,DMSO,0,8,1,129.4829,
g0001,WT,DMSO,0,8,2,118.1139,
g0001,WT,DMSO,0,8,3,118.3695,
g0001,WT,drugA,1.25,16,1,95.702,
g0001,WT,drugA,1.25,16,2,108.9542,
g0001,WT,drugA,1.25,16,3,107.7884,
g0001,WT,drugA,2.5,16,1,152.6137,
g0001,WT,drugA,2.5,16,2,104.9322,
g0001,WT,drugA,2.5,16,3,126.8441,
g0001,WT,drugA,5,16,1,107.1561,
g0001,WT,drugA,5,16,2,101.397,
g0001,WT,drugA,5,16,3,119.5158,
g0001,WT,drugA,10,16,1,141.6341,
g0001,WT,drugA,10,16,2,121.5784,
g0001,WT,drugA,10,16,3,125.866,
g0001,WT,drugA,20,16,1,132.8662,
g0001,WT,drugA,20,16,2,168.3423,
g0001,WT,drugA,20,16,3,170.5822,
g0001,WT,drugA,40,16,1,208.7533,
g0001,WT,drugA,40,16,2,213.694,
g0001,WT,drugA,40,16,3,209.5111,
g0001,WT,drugA,80,16,1,387.1607,
g0001,WT,drugA,80,16,2,337.3518,
g0001,WT,drugA,80,16,3,367.799,
g0001,WT,drugB,1.25,16,1,117.1872,
g0001,WT,drugB,1.25,16,2,125.0496,
g0001,WT,drugB,1.25,16,3,119.7646,
g0001,WT,drugB,2.5,16,1,115.0855,
g0001,WT,drugB,2.5,16,2,119.4314,
g0001,WT,drugB,2.5,16,3,137.6895,
g0001,WT,drugB,5,16,1,97.5391,
g0001,WT,drugB,5,16,2,131.9079,
g0001,WT,drugB,5,16,3,133.4038,
g0001,WT,drugB,10,16,1,150.149,
g0001,WT,drugB,10,16,2,133.2974,
g0001,WT,drugB,10,16,3,131.9781,
g0001,WT,drugB,20,16,1,172.7938,
g0001,WT,drugB,20,16,2,164.4273,
g0001,WT,drugB,20,16,3,165.6519,
g0001,WT,drugB,40,16,1,171.1046,
g0001,WT,drugB,40,16,2,181.3875,
g0001,WT,drugB,40,16,3,191.7133,
g0001,WT,drugB,80,16,1,351.5038,
g0001,WT,drugB,80,16,2,328.9734,
g0001,WT,drugB,80,16,3,405.6549,
g0001,WT,DMSO,0,16,1,125.1852,
g0001,WT,DMSO,0,16,2,122.4031,
g0001,WT,DMSO,0,16,3,137.8022,
g0001,WT,drugA,1.25,24,1,141.0589,
g0001,WT,drugA,1.25,24,2,93.5049,
g0001,WT,drugA,1.25,24,3,107.064,
g0001,WT,drugA,2.5,24,1,116.0776,
g0001,WT,drugA,2.5,24,2,124.8765,
g0001,WT,drugA,2.5,24,3,105.7265,
g0001,WT,drugA,5,24,1,137.4862,
g0001,WT,drugA,5,24,2,133.0215,
g0001,WT,drugA,5,24,3,113.7428,
g0001,WT,drugA,10,24,1,127.6969,
g0001,WT,drugA,10,24,2,159.6185,
g0001,WT,drugA,10,24,3,124.9396,
g0001,WT,drugA,20,24,1,151.0095,
g0001,WT,drugA,20,24,2,176.8737,
g0001,WT,drugA,20,24,3,181.2759,
g0001,WT,drugA,40,24,1,337.0607,
g0001,WT,drugA,40,24,2,272.0482,
g0001,WT,drugA,40,24,3,244.9622,
g0001,WT,drugA,80,24,1,680.0403,
g0001,WT,drugA,80,24,2,515.3694,
g0001,WT,drugA,80,24,3,531.8026,
g0001,WT,drugB,1.25,24,1,125.1249,
g0001,WT,drugB,1.25,24,2,121.0842,
g0001,WT,drugB,1.25,24,3,110.3144,
g0001,WT,drugB,2.5,24,1,124.6962,
g0001,WT,drugB,2.5,24,2,128.6803,
g0001,WT,drugB,2.5,24,3,125.2721,
g0001,WT,drugB,5,24,1,128.9838,
g0001,WT,drugB,5,24,2,113.8408,
g0001,WT,drugB,5,24,3,120.6351,
g0001,WT,drugB,10,24,1,142.3657,
g0001,WT,drugB,10,24,2,152.4271,
g0001,WT,drugB,10,24,3,156.3789,
g0001,WT,drugB,20,24,1,173.0886,
g0001,WT,drugB,20,24,2,166.3645,
g0001,WT,drugB,20,24,3,169.8264,
g0001,WT,drugB,40,24,1,241.2873,
g0001,WT,drugB,40,24,2,288.1693,
g0001,WT,drugB,40,24,3,242.5983,
g0001,WT,drugB,80,24,1,577.492,
g0001,WT,drugB,80,24,2,632.7186,
g0001,WT,drugB,80,24,3,702.1251,
g0001,WT,DMSO,0,24,1,109.2025,
g0001,WT,DMSO,0,24,2,138.522,
g0001,WT,DMSO,0,24,3,125.9251,
g0001,mutant,drugA,1.25,0,1,115.835,
g0001,mutant,drugA,1.25,0,2,106.6526,
g0001,mutant,drugA,1.25,0,3,132.8096,
g0001,mutant,drugA,2.5,0,1,113.1132,
g0001,mutant,drugA,2.5,0,2,110.7436,
g0001,mutant,drugA,2.5,0,3,134.217,
g0001,mutant,drugA,5,0,1,107.9469,
g0001,mutant,drugA,5,0,2,110.3729,
g0001,mutant,drugA,5,0,3,131.5172,
g0001,mutant,drugA,10,0,1,107.465,
g0001,mutant,drugA,10,0,2,143.3897,
g0001,mutant,drugA,10,0,3,116.8689,
g0001,mutant,drugA,20,0,1,111.298,
g0001,mutant,drugA,20,0,2,92.3228,
g0001,mutant,drugA,20,0,3,108.4019,
g0001,mutant,drugA,40,0,1,129.5068,
g0001,mutant,drugA,40,0,2,136.7999,
g0001,mutant,drugA,40,0,3,100.4016,
g0001,mutant,drugA,80,0,1,107.3225,
g0001,mutant,drugA,80,0,2,132.6572,
g0001,mutant,drugA,80,0,3,124.6462,
g0001,mutant,drugB,1.25,0,1,119.0822,
g0001,mutant,drugB,1.25,0,2,113.7746,
g0001,mutant,drugB,1.25,0,3,116.0415,
g0001,mutant,drugB,2.5,0,1,107.6034,
g0001,mutant,drugB,2.5,0,2,99.2406,
g0001,mutant,drugB,2.5,0,3,111.5684,
g0001,mutant,drugB,5,0,1,103.7856,
g0001,mutant,drugB,5,0,2,98.8772,
g0001,mutant,drugB,5,0,3,129.2802,
g0001,mutant,drugB,10,0,1,105.1067,
g0001,mutant,drugB,10,0,2,145.6888,
g0001,mutant,drugB,10,0,3,126.4909,
g0001,mutant,drugB,20,0,1,132.2215,
g0001,mutant,drugB,20,0,2,109.9847,
g0001,mutant,drugB,20,0,3,113.7559,
g0001,mutant,drugB,40,0,1,105.4057,
g0001,mutant,drugB,40,0,2,107.6893,
g0001,mutant,drugB,40,0,3,118.1834,
g0001,mutant,drugB,80,0,1,121.7371,
g0001,mutant,drugB,80,0,2,115.379,
g0001,mutant,drugB,80,0,3,125.7468,
g0001,mutant,DMSO,0,0,1,101.732,
g0001,mutant,DMSO,0,0,2,119.6562,
g0001,mutant,DMSO,0,0,3,114.9938,
g0001,mutant,drugA,1.25,2,1,117.1825,
g0001,mutant,drugA,1.25,2,2,95.1099,
g0001,mutant,drugA,1.25,2,3,129.05,
g0001,mutant,drugA,2.5,2,1,131.5385,
g0001,mutant,drugA,2.5,2,2,111.8874,
g0001,mutant,drugA,2.5,2,3,135.3989,
g0001,mutant,drugA,5,2,1,128.2819,
g0001,mutant,drugA,5,2,2,135.8415,
g0001,mutant,drugA,5,2,3,117.0624,
g0001,mutant,drugA,10,2,1,121.2618,
g0001,mutant,drugA,10,2,2,134.1255,
g0001,mutant,drugA,10,2,3,100.6824,
g0001,mutant,drugA,20,2,1,117.9149,
g0001,mutant,drugA,20,2,2,113.6543,
g0001,mutant,drugA,20,2,3,109.2747,
g0001,mutant,drugA,40,2,1,117.9741,
g0001,mutant,drugA,40,2,2,105.0015,
g0001,mutant,drugA,40,2,3,98.8395,
g0001,mutant,drugA,80,2,1,139.1959,
g0001,mutant,drugA,80,2,2,116.5618,
g0001,mutant,drugA,80,2,3,129.9899,
g0001,mutant,drugB,1.25,2,1,108.0819,
g0001,mutant,drugB,1.25,2,2,131.8692,
g0001,mutant,drugB,1.25,2,3,101.3204,
g0001,mutant,drugB,2.5,2,1,105.392,
g0001,mutant,drugB,2.5,2,2,111.8117,
g0001,mutant,drugB,2.5,2,3,108.0203,
g0001,mutant,drugB,5,2,1,121.2614,
g0001,mutant,drugB,5,2,2,114.8006,
g0001,mutant,drugB,5,2,3,99.9069,
g0001,mutant,drugB,10,2,1,127.9135,
g0001,mutant,drugB,10,2,2,107.1687,
g0001,mutant,drugB,10,2,3,137.4455,
g0001,mutant,drugB,20,2,1,89.5197,
g0001,mutant,drugB,20,2,2,122.7622,
g0001,mutant,drugB,20,2,3,115.6898,
g0001,mutant,drugB,40,2,1,122.5848,
g0001,mutant,drugB,40,2,2,115.7926,
g0001,mutant,drugB,40,2,3,106.6227,
g0001,mutant,drugB,80,2,1,152.8264,
g0001,mutant,drugB,80,2,2,118.8946,
g0001,mutant,drugB,80,2,3,125.5311,
g0001,mutant,DMSO,0,2,1,127.33,
g0001,mutant,DMSO,0,2,2,120.4578,
g0001,mutant,DMSO,0,2,3,111.2914,
g0001,mutant,drugA,1.25,4,1,115.5254,
g0001,mutant,drugA,1.25,4,2,107.1977,
g0001,mutant,drugA,1.25,4,3,118.9123,
g0001,mutant,drugA,2.5,4,1,107.3041,
g0001,mutant,drugA,2.5,4,2,100.6857,
g0001,mutant,drugA,2.5,4,3,117.4884,
g0001,mutant,drugA,5,4,1,127.1124,
g0001,mutant,drugA,5,4,2,120.4473,
g0001,mutant,drugA,5,4,3,98.641,
g0001,mutant,drugA,10,4,2,113.7759,
g0001,mutant,drugA,10,4,3,130.5377,
g0001,mutant,drugA,20,4,1,107.342,
g0001,mutant,drugA,20,4,2,106.3088,
g0001,mutant,drugA,20,4,3,104.6637,
g0001,mutant,drugA,40,4,1,145.7668,
g0001,mutant,drugA,40,4,2,137.8815,
g0001,mutant,drugA,40,4,3,118.2584,
g0001,mutant,drugA,80,4,1,127.2793,
g0001,mutant,drugA,80,4,2,142.2942,
g0001,mutant,drugA,80,4,3,111.3473,
g0001,mutant,drugB,1.25,4,1,108.2712,
g0001,mutant,drugB,1.25,4,2,108.6027,
g0001,mutant,drugB,1.25,4,3,112.3285,
g0001,mutant,drugB,2.5,4,1,85.9424,
g0001,mutant,drugB,2.5,4,2,114.5016,
g0001,mutant,drugB,2.5,4,3,134.5614,
g0001,mutant,drugB,5,4,1,129.0105,
g0001,mutant,drugB,5,4,2,133.2083,
g0001,mutant,drugB,5,4,3,119.1535,
g0001,mutant,drugB,10,4,1,118.8546,
g0001,mutant,drugB,10,4,2,135.6981,
g0001,mutant,drugB,10,4,3,143.1547,
g0001,mutant,drugB,20,4,1,117.9938,
g0001,mutant,drugB,20,4,2,116.0951,
g0001,mutant,drugB,20,4,3,123.7594,
g0001,mutant,drugB,40,4,1,145.1059,
g0001,mutant,drugB,40,4,2,119.3839,
g0001,mutant,drugB,40,4,3,147.4031,
g0001,mutant,drugB,80,4,1,116.5248,
g0001,mutant,drugB,80,4,2,114.1567,
g0001,mutant,drugB,80,4,3,123.5942,
g0001,mutant,DMSO,0,4,1,127.5431,
g0001,mutant,DMSO,0,4,2,110.2307,
g0001,mutant,DMSO,0,4,3,101.0745,
g0001,mutant,drugA,1.25,8,1,126.7699,
g0001,mutant,drugA,1.25,8,2,113.678,
g0001,mutant,drugA,1.25,8,3,136.8571,
g0001,mutant,drugA,2.5,8,1,99.4952,
g0001,mutant,drugA,2.5,8,2,124.4633,
g0001,mutant,drugA,2.5,8,3,112.2525,
g0001,mutant,drugA,5,8,1,146.7277,
g0001,mutant,drugA,5,8,2,123.4672,
g0001,mutant,drugA,5,8,3,122.5396,
g0001,mutant,drugA,10,8,1,94.8439,
g0001,mutant,drugA,10,8,2,108.5188,
g0001,mutant,drugA,10,8,3,127.823,
g0001,mutant,drugA,20,8,1,134.7091,
g0001,mutant,drugA,20,8,2,138.0295,
g0001,mutant,drugA,20,8,3,119.565,
g0001,mutant,drugA,40,8,1,142.2771,
g0001,mutant,drugA,40,8,2,123.7007,
g0001,mutant,drugA,40,8,3,121.8263,
g0001,mutant,drugA,80,8,1,152.4183,
g0001,mutant,drugA,80,8,2,165.1276,
g0001,mutant,drugA,80,8,3,160.9868,
g0001,mutant,drugB,1.25,8,1,116.6948,
g0001,mutant,drugB,1.25,8,2,112.819,
g0001,mutant,drugB,1.25,8,3,118.5473,
g0001,mutant,drugB,2.5,8,1,104.904,
g0001,mutant,drugB,2.5,8,2,112.8814,
g0001,mutant,drugB,2.5,8,3,116.528,
g0001,mutant,drugB,5,8,1,130.6195,
g0001,mutant,drugB,5,8,2,81.5308,
g0001,mutant,drugB,5,8,3,145.4968,
g0001,mutant,drugB,10,8,1,128.7544,
g0001,mutant,drugB,10,8,2,121.867,
g0001,mutant,drugB,10,8,3,124.6028,
g0001,mutant,drugB,20,8,1,123.4717,
g0001,mutant,drugB,20,8,2,109.6963,
g0001,mutant,drugB,20,8,3,117.4382,
g0001,mutant,drugB,40,8,1,129.4435,
g0001,mutant,drugB,40,8,2,128.9109,
g0001,mutant,drugB,40,8,3,133.3482,
g0001,mutant,drugB,80,8,1,146.7979,
g0001,mutant,drugB,80,8,2,169.4469,
g0001,mutant,drugB,80,8,3,180.9311,
g0001,mutant,DMSO,0,8,1,119.6342,
g0001,mutant,DMSO,0,8,2,131.296,
g0001,mutant,DMSO,0,8,3,132.5256,
g0001,mutant,drugA,1.25,16,1,103.5577,
g0001,mutant,drugA,1.25,16,2,118.399,
g0001,mutant,drugA,1.25,16,3,114.6869,
g0001,mutant,drugA,2.5,16,1,108.9078,
g0001,mutant,drugA,2.5,16,3,132.0321,
g0001,mutant,drugA,5,16,1,125.7647,
g0001,mutant,drugA,5,16,2,138.3811,
g0001,mutant,drugA,5,16,3,121.7538,
g0001,mutant,drugA,10,16,1,124.2794,
g0001,mutant,drugA,10,16,2,101.0767,
g0001,mutant,drugA,10,16,3,143.7542,
g0001,mutant,drugA,20,16,1,126.5115,
g0001,mutant,drugA,20,16,2,136.7164,
g0001,mutant,drugA,40,16,1,117.0627,
g0001,mutant,drugA,40,16,2,129.2516,
g0001,mutant,drugA,40,16,3,138.509,
g0001,mutant,drugA,80,16,1,163.583,
g0001,mutant,drugA,80,16,2,180.1804,
g0001,mutant,drugA,80,16,3,180.0175,
g0001,mutant,drugB,1.25,16,1,116.1985,
g0001,mutant,drugB,1.25,16,2,111.2114,
g0001,mutant,drugB,1.25,16,3,118.8384,
g0001,mutant,drugB,2.5,16,1,121.1366,
g0001,mutant,drugB,2.5,16,2,143.4066,
g0001,mutant,drugB,2.5,16,3,99.3997,
g0001,mutant,drugB,5,16,1,106.8506,
g0001,mutant,drugB,5,16,2,114.3611,
g0001,mutant,drugB,5,16,3,113.2665,
g0001,mutant,drugB,10,16,1,122.8042,
g0001,mutant,drugB,10,16,2,132.2184,
g0001,mutant,drugB,10,16,3,118.4813,
g0001,mutant,drugB,20,16,1,123.0667,
g0001,mutant,drugB,20,16,2,119.3427,
g0001,mutant,drugB,20,16,3,137.6503,
g0001,mutant,drugB,40,16,1,174.5719,
g0001,mutant,drugB,40,16,2,146.4453,
g0001,mutant,drugB,40,16,3,127.0754,
g0001,mutant,drugB,80,16,1,143.4886,
g0001,mutant,drugB,80,16,2,134.7246,
g0001,mutant,drugB,80,16,3,144.6707,
g0001,mutant,DMSO,0,16,1,120.3087,
g0001,mutant,DMSO,0,16,2,90.0649,
g0001,mutant,DMSO,0,16,3,120.9976,
g0001,mutant,drugA,1.25,24,1,107.9212,
g0001,mutant,drugA,1.25,24,2,142.444,
g0001,mutant,drugA,1.25,24,3,116.4637,
g0001,mutant,drugA,2.5,24,1,115.2986,
g0001,mutant,drugA,2.5,24,2,123.8809,
g0001,mutant,drugA,2.5,24,3,151.1571,
g0001,mutant,drugA,5,24,1,114.4259,
g0001,mutant,drugA,5,24,2,110.8398,
g0001,mutant,drugA,5,24,3,120.7845,
g0001,mutant,drugA,10,24,1,127.4339,
g0001,mutant,drugA,10,24,2,123.0297,
g0001,mutant,drugA,10,24,3,145.6695,
g0001,mutant,drugA,20,24,1,129.5311,
g0001,mutant,drugA,20,24,2,130.8364,
g0001,mutant,drugA,20,24,3,148.7101,
g0001,mutant,drugA,40,24,1,171.0131,
g0001,mutant,drugA,40,24,2,165.2401,
g0001,mutant,drugA,40,24,3,143.3959,
g0001,mutant,drugA,80,24,1,226.3714,
g0001,mutant,drugA,80,24,2,242.283,
g0001,mutant,drugA,80,24,3,223.5305,
g0001,mutant,drugB,1.25,24,1,118.5787,
g0001,mutant,drugB,1.25,24,2,110.7034,
g0001,mutant,drugB,1.25,24,3,134.4634,
g0001,mutant,drugB,2.5,24,1,111.8638,
g0001,mutant,drugB,2.5,24,2,133.8141,
g0001,mutant,drugB,2.5,24,3,120.8874,
g0001,mutant,drugB,5,24,1,105.0925,
g0001,mutant,drugB,5,24,2,104.5668,
g0001,mutant,drugB,5,24,3,152.8406,
g0001,mutant,drugB,10,24,1,102.4775,
g0001,mutant,drugB,10,24,2,115.4439,
g0001,mutant,drugB,10,24,3,123.7638,
g0001,mutant,drugB,20,24,1,142.1639,
g0001,mutant,drugB,20,24,2,125.6561,
g0001,mutant,drugB,20,24,3,139.7283,
g0001,mutant,drugB,40,24,1,164.6049,
g0001,mutant,drugB,40,24,2,153.892,
g0001,mutant,drugB,40,24,3,159.679,
g0001,mutant,drugB,80,24,1,227.8235,
g0001,mutant,drugB,80,24,2,212.7233,
g0001,mutant,drugB,80,24,3,190.091,
g0001,mutant,DMSO,0,24,1,122.8976,
g0001,mutant,DMSO,0,24,2,133.6977,
g0001,mutant,DMSO,0,24,3,112.901,
g0002,WT,drugA,1.25,0,1,1284.0138,
g0002,WT,drugA,1.25,0,2,1029.0457,
g0002,WT,drugA,1.25,0,3,1226.5165,
g0002,WT,drugA,2.5,0,1,1185.4389,
g0002,WT,drugA,2.5,0,2,1478.3312,
g0002,WT,drugA,2.5,0,3,1104.8765,
g0002,WT,drugA,5,0,1,1101.3559,
g0002,WT,drugA,5,0,2,1080.7408,
g0002,WT,drugA,5,0,3,902.2334,
g0002,WT,drugA,10,0,1,1259.8768,
g0002,WT,drugA,10,0,2,1377.9386,
g0002,WT,drugA,10,0,3,1072.7953,
g0002,WT,drugA,20,0,1,1165.9935,
g0002,WT,drugA,20,0,2,1125.2494,
g0002,WT,drugA,20,0,3,951.4288,
g0002,WT,drugA,40,0,1,1366.4587,
g0002,WT,drugA,40,0,2,1163.6395,
g0002,WT,drugA,40,0,3,1196.8563,
g0002,WT,drugA,80,0,1,1313.4612,
g0002,WT,drugA,80,0,2,1128.4474,
g0002,WT,drugA,80,0,3,1385.1733,
g0002,WT,drugB,1.25,0,1,1142.6522,
g0002,WT,drugB,1.25,0,2,1138.1345,
g0002,WT,drugB,1.25,0,3,1064.4485,
g0002,WT,drugB,2.5,0,1,1181.3086,
g0002,WT,drugB,2.5,0,2,1361.1768,
g0002,WT,drugB,2.5,0,3,1060.0202,
g0002,WT,drugB,5,0,1,1079.79,
g0002,WT,drugB,5,0,2,1177.5644,
g0002,WT,drugB,5,0,3,1160.2223,
g0002,WT,drugB,10,0,1,974.3525,
g0002,WT,drugB,10,0,2,1072.578,
g0002,WT,drugB,10,0,3,1119.1908,
g0002,WT,drugB,20,0,1,1136.6215,
g0002,WT,drugB,20,0,2,1335.9241,
g0002,WT,drugB,20,0,3,1180.0727,
g0002,WT,drugB,40,0,1,1119.9669,
g0002,WT,drugB,40,0,2,1146.4966,
g0002,WT,drugB,40,0,3,1082.0571,
g0002,WT,drugB,80,0,1,1222.7649,
g0002,WT,drugB,80,0,2,1330.3197,
g0002,WT,drugB,80,0,3,1291.6617,
g0002,WT,DMSO,0,0,1,1135.247,
g0002,WT,DMSO,0,0,2,1271.468,
g0002,WT,DMSO,0,0,3,1067.5748,
