UniProtID,well,value
P10006,B2,60.1952
P10006,B3,56.1974
P10006,B4,68.2589
P10006,B5,56.2722
P10006,B6,67.3141
P10006,C1,60.8115
P10006,C2,51.9128
P10006,C3,51.6530
P10006,C4,75.4990
P10006,C5,48.8120
P10006,C6,54.9882
P10006,D1,58.9511
P10006,D2,62.9621
P10006,D3,55.6511
P10006,D4,61.8834
P10006,D5,63.0255
P10006,D6,58.9236
P10006,E1,61.1394
P10006,E2,65.1988
P10006,E3,60.8774
P10006,E4,54.4005
P10006,E5,62.9578
P10006,E6,68.4905
P10006,F1,57.8368
P10006,F2,66.0971
P10006,F3,52.9721
P10006,F4,63.1373
P10006,F5,61.0228
P10006,F6,76.1000
P10006,G1,56.8757
P10006,G2,56.6945
P10006,G3,55.6332
P10006,G4,46.4442
P10006,G5,64.8546
P10006,G6,70.9321
P10006,H1,55.2242
P10006,H2,60.0218
P10006,H3,57.9244
P10006,H4,48.9767
P10006,H5,70.3411
P10006,H6,59.9006
P10007,A1,110.8465
P10007,A2,121.6458
P10007,A3,104.5108
P10007,A4,128.2874
P10007,A5,105.8264
P10007,A6,105.4080
P10007,B1,98.5836
P10007,B2,109.4065
P10007,B3,126.0650
P10007,B4,98.1735
P10007,B5,100.0044
P10007,B6,109.0598
P10007,C1,107.4536
P10007,C2,90.2394
P10007,C3,99.3365
P10007,C4,103.6535
P10007,C5,105.2679
P10007,C6,123.7262
P10007,D1,109.2921
P10007,D2,103.7254
P10007,D3,106.1824
P10007,D4,100.2144
P10007,D5,113.2460
P10007,D6,123.2072
P10007,E1,119.6269
P10007,E2,105.1406
P10007,E3,117.7566
P10007,E4,98.8731
P10007,E5,110.7213
P10007,E6,100.8727
P10007,F1,116.8304
P10007,F2,92.7202
P10007,F3,117.3277
P10007,F4,106.6047
P10007,F5,109.9522
P10007,F6,97.0006
P10007,G1,111.7843
P10007,G3,113.5974
P10007,G4,129.7710
P10007,G5,110.3421
P10007,G6,118.4890
P10007,H1,110.9535
P10007,H2,94.9489
P10007,H3,111.1624
P10007,H4,105.2424
P10007,H5,109.2639
P10007,H6,131.3437
P10008,A1,965.4499
P10008,A2,905.0226
P10008,A3,1108.4484
P10008,A4,966.1644
P10008,A5,849.9197
P10008,A6,906.0505
P10008,B1,572.1951
P10008,B2,693.0905
P10008,B3,651.4845
P10008,B4,1247.7117
P10008,B5,1002.1219
P10008,B6,937.6901
P10008,C1,961.2169
P10008,C2,846.2854
P10008,C3,819.8994
P10008,C4,773.3164
P10008,C5,602.0982
P10008,C6,784.2865
P10008,D1,376.5883
P10008,D2,559.7328
P10008,D3,491.5089
P10008,D4,958.3468
P10008,D5,1245.7992
P10008,D6,877.5521
P10008,E1,892.9302
P10008,E2,1040.0532
P10008,E3,860.2422
P10008,E4,812.1035
P10008,E5,898.9955
P10008,E6,983.1649
P10008,F1,836.0648
P10008,F2,788.1533
P10008,F3,651.2799
P10008,F4,1007.2376
P10008,F5,952.5743
P10008,F6,1140.5659
P10008,G1,707.3356
P10008,G2,1001.7146
P10008,G3,826.5594
P10008,G4,876.4632
P10008,G5,729.9863
P10008,G6,664.7850
P10008,H1,439.9231
P10008,H2,531.2916
P10008,H3,524.6217
P10008,H4,1296.2053
P10008,H5,1015.0594
P10008,H6,979.8825
P10009,A1,1026.5858
P10009,A2,1072.3270
P10009,A3,1124.1650
P10009,A4,1386.6052
P10009,A5,1328.0348
P10009,A6,1133.3893
P10009,B1,1197.2398
P10009,B2,1314.7951
P10009,B3,1228.4552
P10009,B4,1031.0276
P10009,B5,962.9266
P10009,B6,1346.5880
P10009,C1,996.8570
P10009,C2,1173.2935
P10009,C3,1028.3472
P10009,C4,1361.5848
P10009,C6,1250.1504
P10009,D1,1121.3545
P10009,D2,1253.5849
P10009,D3,1170.1284
P10009,D4,1214.7320
P10009,D5,1029.2524
P10009,D6,1088.8767
P10009,E1,1096.9932
P10009,E2,996.7932
P10009,E3,1117.1069
P10009,E4,1034.7647
P10009,E5,1246.1896
P10009,E6,1088.7642
P10009,F1,1272.7831
P10009,F2,1272.0150
P10009,F3,1317.8259
P10009,F4,963.0024
P10009,F5,1306.0110
P10009,F6,1212.4250
P10009,G1,1300.8112
P10009,G2,1208.4211
P10009,G3,978.4666
P10009,G4,991.2343
P10009,G5,1116.5768
P10009,G6,1345.3856
P10009,H1,1281.3474
P10009,H2,1154.2025
P10009,H3,1341.5410
P10009,H4,1230.7800
P10009,H5,1041.2301
P10009,H6,1343.3978
P10010,A1,104.8369
P10010,A2,102.2688
P10010,A3,109.8174
P10010,A4,118.5674
P10010,A5,123.8315
P10010,A6,136.0007
P10010,B1,155.8322
P10010,B2,134.1316
P10010,B3,128.0073
P10010,B4,90.5652
P10010,B5,96.6336
P10010,B6,102.2520
P10010,C1,99.0388
P10010,C2,127.9763
P10010,C3,110.1032
P10010,C4,146.1684
P10010,C5,148.8387
P10010,C6,129.5989
P10010,D1,243.2363
P10010,D2,194.6559
P10010,D3,235.3966
P10010,D4,83.6390
P10010,D5,117.0903
P10010,D6,94.1606
P10010,E2,112.3860
P10010,E3,96.8781
P10010,E4,137.1808
P10010,E5,114.0790
P10010,E6,117.3450
P10010,F1,124.9898
P10010,F2,125.7165
P10010,F3,155.2155
P10010,F4,91.2337
P10010,F5,121.1261
P10010,F6,100.1784
P10010,G1,104.9554
P10010,G2,122.8709
P10010,G3,128.1302
P10010,G4,153.8465
P10010,G5,163.4033
P10010,G6,156.3325
P10010,H1,264.8397
P10010,H2,222.3482
P10010,H3,200.0290
P10010,H4,91.1105
P10010,H5,108.9078
P10010,H6,99.9673
P10011,A1,658.9836
P10011,A2,630.5696
P10011,A3,673.1904
P10011,A4,692.2440
P10011,A5,552.7892
P10011,A6,752.8931
P10011,B1,784.2899
P10011,B2,677.2660
P10011,B3,545.0034
P10011,B4,553.9287
P10011,B5,512.3451
P10011,B6,691.9669
P10011,C1,727.1860
P10011,C2,582.8253
P10011,C3,579.8201
P10011,C4,577.3562
P10011,C5,574.9630
P10011,C6,660.5620
P10011,D1,727.5122
P10011,D2,680.0602
P10011,D3,709.3021
P10011,D4,618.6029
P10011,D5,643.7022
P10011,D6,603.9801
P10011,E1,676.0661
P10011,E2,556.3316
P10011,E4,590.8377
P10011,E5,748.0147
P10011,E6,688.4323
P10011,F1,606.8580
P10011,F2,698.3401
P10011,F3,601.2968
P10011,F4,720.7435
P10011,F5,741.8176
P10011,F6,628.8987
P10011,G1,555.7860
P10011,G2,631.5891
P10011,G3,619.4451
P10011,G4,683.0967
P10011,G5,536.8133
P10011,G6,597.8911
P10011,H1,578.0968
P10011,H2,597.8907
P10011,H3,652.2115
P10011,H4,703.5737
P10011,H5,643.0582
P10011,H6,645.8442
P10012,A1,519.1641
P10012,A2,641.6171
P10012,A3,395.6951
P10012,A4,511.3484
P10012,A5,472.2889
P10012,A6,412.8726
P10012,B1,535.2247
P10012,B2,518.8758
P10012,B3,490.7751
P10012,B4,500.8386
P10012,B5,512.6988
P10012,B6,527.3668
P10012,C1,507.9200
P10012,C2,523.8673
P10012,C3,526.5378
P10012,C4,612.5695
P10012,C5,414.7933
P10012,C6,441.0552
P10012,D1,426.5642
P10012,D2,462.6121
P10012,D3,515.8785
P10012,D4,491.6115
P10012,D5,423.0762
P10012,D6,505.3514
P10012,E1,483.0900
P10012,E2,480.7854
P10012,E3,563.6145
P10012,E4,494.5724
P10012,E5,430.2005
P10012,E6,477.3899
P10012,F1,585.9686
P10012,F2,451.5806
P10012,F3,437.5374
P10012,F4,481.6950
P10012,F5,443.6440
P10012,F6,453.7583
P10012,G1,489.7990
P10012,G2,477.9272
P10012,G3,464.8392
P10012,G4,520.6321
P10012,G5,466.2085
P10012,G6,460.8199
P10012,H1,511.2284
P10012,H2,532.3975
P10012,H3,510.0201
P10012,H4,529.4945
P10012,H5,451.0680
P10013,A1,171.3850
P10013,A2,138.6346
P10013,A3,160.0165
P10013,A4,155.2723
P10013,A5,150.1015
P10013,A6,155.4666
P10013,B1,144.6050
P10013,B2,190.8757
P10013,B3,183.8415
P10013,B4,178.8457
P10013,B6,143.5807
P10013,C1,177.8082
P10013,C2,143.4549
P10013,C3,127.2526
P10013,C4,157.7071
P10013,C5,149.1029
P10013,C6,175.0618
P10013,D1,171.6900
P10013,D2,127.6188
P10013,D3,179.1119
P10013,D4,111.2792
P10013,D5,154.3644
P10013,D6,150.2311
P10013,E1,149.4420
P10013,E2,131.6060
P10013,E3,173.8544
P10013,E4,130.9665
P10013,E5,154.7299
P10013,E6,177.9898
P10013,F1,124.9338
P10013,F2,159.6466
P10013,F3,136.4491
P10013,F4,170.3393
P10013,F5,178.5551
P10013,G1,137.0020
P10013,G2,165.8739
P10013,G3,156.9547
P10013,G4,147.9090
P10013,G5,169.0579
P10013,G6,156.6727
P10013,H1,182.8624
P10013,H2,150.6106
P10013,H3,128.6021
P10013,H4,159.0784
P10013,H5,143.6919
P10013,H6,155.8542
P10014,A1,2981.0570
P10014,A2,2673.2627
P10014,A3,2832.4402
P10014,A4,2353.8509
P10014,A5,2119.1523
P10014,A6,2261.4033
P10014,B1,2351.0698
P10014,B2,2547.1680
P10014,B3,2966.7999
P10014,B4,2926.1312
P10014,B5,2107.0291
P10014,B6,2469.7388
P10014,C1,2021.8887
P10014,C2,2687.1575
P10014,C3,2617.9968
P10014,C4,2737.1082
P10014,C5,2869.0806
P10014,C6,2709.3721
P10014,D1,2522.4285
P10014,D2,2831.0567
P10014,D3,2317.0667
P10014,D4,3408.5842
P10014,D5,2627.4183
P10014,D6,2702.5441
P10014,E1,2772.6508
P10014,E2,2783.8178
P10014,E3,2405.1974
P10014,E4,2431.4730
P10014,E5,2570.0221
P10014,E6,2821.4408
P10014,F1,2433.1489
P10014,F3,2361.5435
P10014,F4,2930.6921
P10014,F5,2202.0899
P10014,F6,2292.8334
P10014,G1,2316.2833
P10014,G2,2145.2768
P10014,G3,2750.0081
P10014,G4,2863.3281
P10014,G5,3016.3729
P10014,G6,2783.6972
P10014,H1,2225.6549
P10014,H2,2648.6514
P10014,H3,2498.3080
P10014,H4,2741.9997
P10014,H5,3235.3935
P10014,H6,2352.7328
P10015,A1,437.4189
P10015,A2,351.1572
P10015,A3,383.9210
P10015,A4,323.3346
P10015,A5,389.3851
P10015,A6,344.9013
P10015,B1,435.5934
P10015,B2,399.5893
P10015,B3,374.5068
P10015,B4,365.0289
P10015,B5,362.9381
P10015,B6,434.4305
P10015,C1,345.2057
P10015,C2,364.9081
P10015,C3,399.2388
P10015,C4,388.2360
P10015,C5,440.1670
P10015,C6,381.1166
P10015,D1,412.1195
P10015,D2,356.8033
P10015,D3,364.8009
P10015,D4,386.6978
P10015,D5,364.5491
P10015,D6,388.1080
P10015,E1,373.1904
P10015,E2,378.6008
P10015,E3,389.6550
P10015,E4,407.1562
P10015,E5,352.2130
P10015,E6,381.5500
P10015,F1,351.3234
P10015,F2,405.3071
P10015,F3,368.2881
P10015,F4,298.7438
P10015,F5,416.0186
P10015,F6,403.7660
P10015,G1,399.7953
P10015,G2,360.2056
P10015,G3,338.3308
P10015,G4,415.1156
P10015,G5,462.5997
P10015,G6,384.1726
P10015,H1,342.1584
P10015,H2,394.2258
P10015,H3,432.8145
P10015,H4,401.0726
P10015,H5,400.6604
P10015,H6,381.4856
P10016,A1,672.2504
P10016,A2,603.3023
P10016,A3,776.8482
P10016,A4,581.7265
P10016,A5,731.9639
P10016,B1,607.9011
P10016,B2,631.7759
P10016,B3,753.1774
P10016,B4,591.0651
P10016,B5,591.4945
P10016,B6,722.2980
P10016,C1,642.6692
P10016,C2,523.9387
P10016,C3,627.2426
P10016,C4,526.9774
P10016,C5,615.9075
P10016,C6,606.8977
P10016,D1,601.5333
P10016,D2,667.5355
P10016,D3,590.1268
P10016,D4,666.7176
P10016,D5,610.6890
P10016,D6,692.9035
P10016,E1,635.6720
P10016,E2,601.6197
P10016,E3,802.6213
P10016,E4,740.0574
P10016,E5,686.3915
P10016,E6,716.1334
P10016,F1,589.0821
P10016,F2,603.2626
P10016,F3,730.9931
P10016,F4,694.1175
P10016,F5,599.8668
P10016,F6,665.7703
P10016,G1,563.1657
P10016,G2,624.2543
P10016,G3,632.7695
P10016,G4,677.1136
P10016,G5,654.7573
P10016,G6,633.6356
P10016,H2,568.2188
P10016,H3,714.2982
P10016,H4,574.7651
P10016,H5,560.1588
P10016,H6,588.1750
P10017,A1,876.2867
P10017,A2,780.1429
P10017,A3,876.0986
P10017,A4,902.0248
P10017,A5,813.9999
P10017,A6,1011.2119
P10017,B1,1098.3614
P10017,B2,1193.5740
P10017,B3,1275.8263
P10017,B4,790.1957
P10017,B5,707.3901
P10017,B6,769.5266
P10017,C1,852.2229
P10017,C2,969.3859
P10017,C3,939.3767
P10017,C4,997.7395
P10017,C5,1120.5444
P10017,C6,1002.9692
P10017,D1,1732.8942
P10017,D2,1610.5701
P10017,D3,1768.7091
P10017,D4,703.2309
P10017,D5,727.1309
P10017,D6,765.8575
P10017,E1,857.5845
P10017,E2,786.4904
P10017,E3,751.2820
P10017,E4,679.9159
P10017,E5,903.2539
P10017,E6,969.1515
P10017,F1,673.1818
P10017,F2,847.1009
P10017,F3,868.8180
P10017,F4,786.1571
P10017,F5,911.0394
P10017,F6,598.1009
P10017,G1,820.8941
P10017,G2,728.1588
P10017,G3,878.2443
P10017,G4,851.2891
P10017,G5,735.3441
P10017,G6,735.9260
P10017,H1,993.2949
P10017,H2,999.3774
P10017,H3,781.0446
P10017,H4,674.7311
P10017,H5,648.9592
P10017,H6,634.6288
P10018,A1,42.4641
P10018,A2,41.9831
P10018,A3,39.5126
P10018,A4,38.9488
P10018,A5,47.2529
P10018,A6,36.0475
P10018,B1,43.0419
P10018,B2,39.4882
P10018,B3,45.1251
P10018,B4,35.0003
P10018,B5,31.7960
P10018,C1,50.9521
P10018,C2,42.5597
P10018,C3,37.5335
P10018,C4,33.4110
P10018,C5,40.3312
P10018,C6,38.4910
P10018,D1,39.4610
P10018,D2,49.1398
P10018,D3,46.7216
P10018,D4,41.9987
P10018,D5,43.6000
P10018,D6,37.3993
P10018,E1,37.7191
P10018,E3,38.2846
P10018,E4,42.8793
P10018,E5,37.6126
P10018,E6,43.2359
P10018,F1,43.9109
P10018,F2,44.1461
P10018,F3,40.2975
P10018,F4,36.4114
P10018,F5,44.7828
P10018,F6,42.4100
P10018,G1,38.3328
P10018,G2,38.3363
P10018,G3,35.5699
P10018,G4,43.2321
P10018,G5,42.1748
P10018,G6,38.0304
P10018,H1,34.9147
P10018,H2,38.7683
P10018,H3,47.6743
P10018,H4,35.4871
P10018,H5,35.2569
P10018,H6,41.8510
P10019,A1,255.7516
P10019,A2,301.6606
P10019,A3,284.4189
P10019,A4,272.5928
P10019,A5,303.5791
P10019,A6,311.9596
P10019,B1,326.1484
P10019,B2,240.2391
P10019,B3,317.7756
P10019,B4,366.9415
P10019,B5,231.1646
P10019,B6,293.3177
P10019,C1,283.2044
P10019,C2,277.3490
P10019,C3,341.1005
P10019,C4,292.9721
P10019,C5,290.7394
P10019,C6,270.1781
P10019,D1,243.9332
P10019,D2,245.9403
P10019,D3,251.0019
P10019,D4,269.4371
P10019,D5,297.7668
P10019,D6,297.5757
P10019,E1,328.5782
P10019,E2,311.3279
P10019,E3,325.1115
P10019,E4,253.8475
P10019,E5,307.8596
P10019,E6,282.5848
P10019,F1,294.9657
P10019,F2,288.4664
P10019,F3,293.7329
P10019,F4,311.3683
P10019,F5,272.3940
P10019,F6,241.3939
P10019,G1,259.2367
P10019,G2,329.3900
P10019,G3,257.2091
P10019,G4,299.6032
P10019,G5,252.8032
P10019,G6,305.4596
P10019,H1,313.9476
P10019,H2,266.3818
P10019,H3,306.1194
P10019,H4,293.1696
P10019,H5,238.2280
P10019,H6,321.9746
P10020,A1,488.3938
P10020,A2,471.6069
P10020,A3,364.4311
P10020,A4,437.4482
P10020,A5,447.4499
P10020,A6,666.5338
P10020,B1,443.7863
P10020,B2,537.4400
P10020,B3,448.0376
P10020,B4,439.6131
P10020,B5,490.7663
P10020,B6,606.5441
P10020,C1,435.8146
P10020,C2,478.5283
P10020,C3,424.6580
P10020,C4,459.1026
P10020,C5,467.3391
P10020,C6,409.8538
P10020,D1,482.9027
P10020,D2,527.0869
P10020,D3,468.8418
P10020,D4,461.7082
P10020,D5,503.7017
P10020,E1,502.6154
P10020,E2,477.4729
P10020,E3,475.6852
P10020,E4,556.4909
P10020,E5,492.5066
P10020,E6,469.0002
P10020,F1,446.6671
P10020,F2,510.2429
P10020,F4,490.0281
P10020,F5,578.6420
P10020,F6,441.6079
P10020,G1,427.9425
P10020,G2,466.3650
P10020,G3,545.7772
P10020,G4,507.0735
P10020,G5,544.4314
P10020,G6,433.5197
P10020,H1,444.9422
P10020,H2,456.5233
P10020,H3,518.0058
P10020,H4,547.8045
P10020,H6,413.3375
P10021,A1,384.8481
P10021,A2,315.7690
P10021,A3,254.2336
P10021,A4,334.9241
P10021,A5,320.5996
P10021,A6,294.3290
P10021,B1,292.0202
P10021,B2,262.5439
P10021,B3,289.5704
P10021,B4,305.4186
P10021,B5,285.3378
P10021,C1,284.3655
P10021,C2,316.7582
P10021,C3,276.9206
P10021,C4,308.5497
P10021,C5,309.0110
P10021,C6,305.2482
P10021,D1,261.9219
P10021,D2,265.0478
P10021,D3,339.0094
P10021,D4,323.7160
P10021,D5,303.0454
P10021,D6,267.4119
P10021,E1,321.6136
P10021,E2,336.4260
P10021,E3,319.4775
P10021,E4,317.5523
P10021,E5,330.2358
P10021,E6,366.8101
P10021,F1,296.5573
P10021,F2,276.1206
P10021,F3,269.8770
P10021,F4,242.8036
P10021,F5,273.1573
P10021,F6,334.0188
P10021,G1,370.2092
P10021,G2,323.9063
P10021,G3,253.8892
P10021,G4,271.6000
P10021,G5,299.2960
P10021,H1,305.4612
P10021,H2,288.7600
P10021,H3,351.6147
P10021,H4,234.5398
P10021,H5,318.4477
P10021,H6,349.9407
P10022,A1,797.0621
P10022,A2,911.3311
P10022,A3,1101.3636
P10022,A4,1051.7955
P10022,A5,1052.6628
P10022,A6,823.8335
P10022,B1,921.9821
P10022,B2,914.1039
P10022,B3,1043.8373
P10022,B4,1010.4939
P10022,B5,956.6471
P10022,B6,1008.5994
P10022,C1,993.7286
P10022,C2,1214.4230
P10022,C3,997.6691
P10022,C4,1276.4720
P10022,C5,1000.8826
P10022,C6,996.8879
P10022,D1,942.7248
P10022,D2,869.4880
P10022,D3,1024.0951
P10022,D4,969.4452
P10022,D5,854.3203
P10022,D6,906.8259
P10022,E1,1211.1471
P10022,E2,1022.5231
P10022,E3,900.7569
P10022,E4,1069.8554
P10022,E5,955.7585
P10022,E6,1011.1837
P10022,F1,824.4082
P10022,F2,990.3245
P10022,F3,1063.3536
P10022,F4,1037.2435
P10022,F5,996.4010
P10022,F6,872.8801
P10022,G1,955.7481
P10022,G2,702.1148
P10022,G3,841.3137
P10022,G4,1008.2196
P10022,G5,1142.7906
P10022,G6,1034.1575
P10022,H1,948.9108
P10022,H2,820.3240
P10022,H3,899.8526
P10022,H4,827.8948
P10022,H5,807.7555
P10022,H6,1096.9975
P10023,A1,3045.0280
P10023,A2,3529.6094
P10023,A3,3652.8032
P10023,A4,3399.7616
P10023,A5,3331.4024
P10023,A6,3841.5251
P10023,B1,3319.7637
P10023,B2,2933.4360
P10023,B3,3984.7874
P10023,B4,3878.1283
P10023,B5,3352.1122
P10023,B6,3331.6605
P10023,C1,3435.7146
P10023,C2,4287.3768
P10023,C3,3378.4114
P10023,C5,4821.7959
P10023,C6,3325.5964
P10023,D1,3718.9372
P10023,D2,3105.1885
P10023,D3,2817.7151
P10023,D4,3086.2442
P10023,D5,3229.3667
P10023,D6,3356.7414
P10023,E1,3253.3921
P10023,E2,4117.9448
P10023,E3,3868.7415
P10023,E4,2919.5077
P10023,E5,4060.5290
P10023,E6,3619.3092
P10023,F1,3291.2577
P10023,F2,3521.0954
P10023,F3,3583.5451
P10023,F4,3370.3736
P10023,F5,3830.0298
P10023,F6,3856.9721
P10023,G1,3596.5881
P10023,G2,2986.0327
P10023,G3,3736.4225
P10023,G4,2777.6853
P10023,G5,4499.1265
P10023,G6,3377.6674
P10023,H1,3144.1601
P10023,H2,2972.2034
P10023,H3,3608.4158
P10023,H4,3518.3218
P10023,H5,3746.7894
P10023,H6,3907.9139
P10024,A1,541.5817
P10024,A2,631.3864
P10024,A3,493.9786
P10024,A4,654.2475
P10024,A5,585.5561
P10024,A6,570.7710
P10024,B1,514.1585
P10024,B2,531.7048
P10024,B3,572.0286
P10024,B4,534.1654
P10024,B5,553.1512
P10024,B6,613.7126
P10024,C1,664.5391
P10024,C2,484.8366
P10024,C3,601.9619
P10024,C4,605.1949
P10024,C5,591.9225
P10024,C6,653.2116
P10024,D1,625.0946
P10024,D3,611.3560
P10024,D4,496.2316
P10024,D5,581.8622
P10024,D6,531.6710
P10024,E1,533.1223
P10024,E2,578.0194
P10024,E3,585.7105
P10024,E4,525.2475
P10024,E5,465.6851
P10024,E6,571.1280
P10024,F1,519.5187
P10024,F2,544.0877
P10024,F3,683.3968
P10024,F4,474.6779
P10024,F5,548.4461
P10024,F6,523.6516
P10024,G1,541.6050
P10024,G2,641.1671
P10024,G3,555.5879
P10024,G4,698.1570
P10024,G5,581.5374
P10024,G6,569.4224
P10024,H1,590.1504
P10024,H2,512.3488
P10024,H3,543.9761
P10024,H4,546.9695
P10024,H5,510.8370
P10024,H6,507.1286
P10025,A1,323.7112
P10025,A2,310.3011
P10025,A3,351.9728
P10025,A4,322.8578
P10025,A5,338.5257
P10025,A6,296.6218
P10025,B1,237.4549
P10025,B2,272.0542
P10025,B3,255.9381
P10025,B4,398.1398
P10025,B5,411.6617
P10025,B6,427.4360
P10025,C1,312.2695
P10025,C2,296.3227
P10025,C3,299.4788
P10025,C4,254.7161
P10025,C5,219.3898
P10025,C6,240.0153
