well,strain,cmpd,dose,time,rep
P1_F12,WT,drugB,2.5,2,3
P1_G1,WT,drugB,5,2,1
P1_G2,WT,drugB,5,2,2
P1_G3,WT,drugB,5,2,3
P1_G4,WT,drugB,10,2,1
P1_G5,WT,drugB,10,2,2
P1_G6,WT,drugB,10,2,3
P1_G7,WT,drugB,20,2,1
P1_G8,WT,drugB,20,2,2
P1_G9,WT,drugB,20,2,3
P1_G10,WT,drugB,40,2,1
P1_G11,WT,drugB,40,2,2
P1_G12,WT,drugB,40,2,3
P1_H1,WT,drugB,80,2,1
P1_H2,WT,drugB,80,2,2
P1_H3,WT,drugB,80,2,3
P1_H4,WT,DMSO,0,2,1
P1_H5,WT,DMSO,0,2,2
P1_H6,WT,DMSO,0,2,3
P1_H7,WT,drugA,1.25,4,1
P1_H8,WT,drugA,1.25,4,2
P1_H9,WT,drugA,1.25,4,3
P1_H10,WT,drugA,2.5,4,1
P1_H11,WT,drugA,2.5,4,2
P1_H12,WT,drugA,2.5,4,3
P2_A1,WT,drugA,5,4,1
P2_A2,WT,drugA,5,4,2
P2_A3,WT,drugA,5,4,3
P2_A4,WT,drugA,10,4,1
P2_A5,WT,drugA,10,4,2
P2_A6,WT,drugA,10,4,3
P2_A7,WT,drugA,20,4,1
P2_A8,WT,drugA,20,4,2
P2_A9,WT,drugA,20,4,3
P2_A10,WT,drugA,40,4,1
P2_A11,WT,drugA,40,4,2
P2_A12,WT,drugA,40,4,3
P2_B1,WT,drugA,80,4,1
P2_B2,WT,drugA,80,4,2
P2_B3,WT,drugA,80,4,3
P2_B4,WT,drugB,1.25,4,1
P2_B5,WT,drugB,1.25,4,2
P2_B6,WT,drugB,1.25,4,3
P2_B7,WT,drugB,2.5,4,1
P2_B8,WT,drugB,2.5,4,2
P2_B9,WT,drugB,2.5,4,3
P2_B10,WT,drugB,5,4,1
P2_B11,WT,drugB,5,4,2
P2_B12,WT,drugB,5,4,3
P2_C1,WT,drugB,10,4,1
P2_C2,WT,drugB,10,4,2
P2_C3,WT,drugB,10,4,3
P2_C4,WT,drugB,20,4,1
P2_C5,WT,drugB,20,4,2
P2_C6,WT,drugB,20,4,3
P2_C7,WT,drugB,40,4,1
P2_C8,WT,drugB,40,4,2
P2_C9,WT,drugB,40,4,3
P2_C10,WT,drugB,80,4,1
P2_C11,WT,drugB,80,4,2
P2_C12,WT,drugB,80,4,3
P2_D1,WT,DMSO,0,4,1
P2_D2,WT,DMSO,0,4,2
P2_D3,WT,DMSO,0,4,3
P2_D4,WT,drugA,1.25,8,1
P2_D5,WT,drugA,1.25,8,2
P2_D6,WT,drugA,1.25,8,3
P2_D7,WT,drugA,2.5,8,1
P2_D8,WT,drugA,2.5,8,2
P2_D9,WT,drugA,2.5,8,3
P2_D10,WT,drugA,5,8,1
P2_D11,WT,drugA,5,8,2
P2_D12,WT,drugA,5,8,3
P2_E1,WT,drugA,10,8,1
P2_E2,WT,drugA,10,8,2
P2_E3,WT,drugA,10,8,3
P2_E4,WT,drugA,20,8,1
P2_E5,WT,drugA,20,8,2
P2_E6,WT,drugA,20,8,3
P2_E7,WT,drugA,40,8,1
P2_E8,WT,drugA,40,8,2
P2_E9,WT,drugA,40,8,3
P2_E10,WT,drugA,80,8,1
P2_E11,WT,drugA,80,8,2
P2_E12,WT,drugA,80,8,3
P2_F1,WT,drugB,1.25,8,1
P2_F2,WT,drugB,1.25,8,2
P2_F3,WT,drugB,1.25,8,3
P2_F4,WT,drugB,2.5,8,1
P2_F5,WT,drugB,2.5,8,2
P2_F6,WT,drugB,2.5,8,3
P2_F7,WT,drugB,5,8,1
P2_F8,WT,drugB,5,8,2
P2_F9,WT,drugB,5,8,3
P2_F10,WT,drugB,10,8,1
P2_F11,WT,drugB,10,8,2
P2_F12,WT,drugB,10,8,3
P2_G1,WT,drugB,20,8,1
P2_G2,WT,drugB,20,8,2
P2_G3,WT,drugB,20,8,3
P2_G4,WT,drugB,40,8,1
P2_G5,WT,drugB,40,8,2
P2_G6,WT,drugB,40,8,3
P2_G7,WT,drugB,80,8,1
P2_G8,WT,drugB,80,8,2
P2_G9,WT,drugB,80,8,3
P2_G10,WT,DMSO,0,8,1
P2_G11,WT,DMSO,0,8,2
P2_G12,WT,DMSO,0,8,3
P2_H1,WT,drugA,1.25,16,1
P2_H2,WT,drugA,1.25,16,2
P2_H3,WT,drugA,1.25,16,3
P2_H4,WT,drugA,2.5,16,1
P2_H5,WT,drugA,2.5,16,2
P2_H6,WT,drugA,2.5,16,3
P2_H7,WT,drugA,5,16,1
P2_H8,WT,drugA,5,16,2
P2_H9,WT,drugA,5,16,3
P2_H10,WT,drugA,10,16,1
P2_H11,WT,drugA,10,16,2
P2_H12,WT,drugA,10,16,3
P3_A1,WT,drugA,20,16,1
P3_A2,WT,drugA,20,16,2
P3_A3,WT,drugA,20,16,3
P3_A4,WT,drugA,40,16,1
P3_A5,WT,drugA,40,16,2
P3_A6,WT,drugA,40,16,3
P3_A7,WT,drugA,80,16,1
P3_A8,WT,drugA,80,16,2
P3_A9,WT,drugA,80,16,3
P3_A10,WT,drugB,1.25,16,1
P3_A11,WT,drugB,1.25,16,2
P3_A12,WT,drugB,1.25,16,3
P3_B1,WT,drugB,2.5,16,1
P3_B2,WT,drugB,2.5,16,2
P3_B3,WT,drugB,2.5,16,3
P3_B4,WT,drugB,5,16,1
P3_B5,WT,drugB,5,16,2
P3_B6,WT,drugB,5,16,3
P3_B7,WT,drugB,10,16,1
P3_B8,WT,drugB,10,16,2
P3_B9,WT,drugB,10,16,3
P3_B10,WT,drugB,20,16,1
P3_B11,WT,drugB,20,16,2
P3_B12,WT,drugB,20,16,3
P3_C1,WT,drugB,40,16,1
P3_C2,WT,drugB,40,16,2
P3_C3,WT,drugB,40,16,3
P3_C4,WT,drugB,80,16,1
P3_C5,WT,drugB,80,16,2
P3_C6,WT,drugB,80,16,3
P3_C7,WT,DMSO,0,16,1
P3_C8,WT,DMSO,0,16,2
P3_C9,WT,DMSO,0,16,3
P3_C10,WT,drugA,1.25,24,1
P3_C11,WT,drugA,1.25,24,2
P3_C12,WT,drugA,1.25,24,3
P3_D1,WT,drugA,2.5,24,1
P3_D2,WT,drugA,2.5,24,2
P3_D3,WT,drugA,2.5,24,3
P3_D4,WT,drugA,5,24,1
P3_D5,WT,drugA,5,24,2
P3_D6,WT,drugA,5,24,3
P3_D7,WT,drugA,10,24,1
P3_D8,WT,drugA,10,24,2
P3_D9,WT,drugA,10,24,3
P3_D10,WT,drugA,20,24,1
P3_D11,WT,drugA,20,24,2
P3_D12,WT,drugA,20,24,3
P3_E1,WT,drugA,40,24,1
P3_E2,WT,drugA,40,24,2
P3_E3,WT,drugA,40,24,3
P3_E4,WT,drugA,80,24,1
P3_E5,WT,drugA,80,24,2
P3_E6,WT,drugA,80,24,3
P3_E7,WT,drugB,1.25,24,1
P3_E8,WT,drugB,1.25,24,2
P3_E9,WT,drugB,1.25,24,3
P3_E10,WT,drugB,2.5,24,1
P3_E11,WT,drugB,2.5,24,2
P3_E12,WT,drugB,2.5,24,3
P3_F1,WT,drugB,5,24,1
P3_F2,WT,drugB,5,24,2
P3_F3,WT,drugB,5,24,3
P3_F4,WT,drugB,10,24,1
P3_F5,WT,drugB,10,24,2
P3_F6,WT,drugB,10,24,3
P3_F7,WT,drugB,20,24,1
P3_F8,WT,drugB,20,24,2
P3_F9,WT,drugB,20,24,3
P3_F10,WT,drugB,40,24,1
P3_F11,WT,drugB,40,24,2
P3_F12,WT,drugB,40,24,3
P3_G1,WT,drugB,80,24,1
P3_G2,WT,drugB,80,24,2
P3_G3,WT,drugB,80,24,3
P3_G4,WT,DMSO,0,24,1
P3_G5,WT,DMSO,0,24,2
P3_G6,WT,DMSO,0,24,3
P3_G7,mutant,drugA,1.25,0,1
P3_G8,mutant,drugA,1.25,0,2
P3_G9,mutant,drugA,1.25,0,3
P3_G10,mutant,drugA,2.5,0,1
P3_G11,mutant,drugA,2.5,0,2
P3_G12,mutant,drugA,2.5,0,3
P3_H1,mutant,drugA,5,0,1
P3_H2,mutant,drugA,5,0,2
P3_H3,mutant,drugA,5,0,3
P3_H4,mutant,drugA,10,0,1
P3_H5,mutant,drugA,10,0,2
P3_H6,mutant,drugA,10,0,3
P3_H7,mutant,drugA,20,0,1
P3_H8,mutant,drugA,20,0,2
P3_H9,mutant,drugA,20,0,3
P3_H10,mutant,drugA,40,0,1
P3_H11,mutant,drugA,40,0,2
P3_H12,mutant,drugA,40,0,3
P4_A1,mutant,drugA,80,0,1
P4_A2,mutant,drugA,80,0,2
P4_A3,mutant,drugA,80,0,3
P4_A4,mutant,drugB,1.25,0,1
P4_A5,mutant,drugB,1.25,0,2
P4_A6,mutant,drugB,1.25,0,3
P4_A7,mutant,drugB,2.5,0,1
P4_A8,mutant,drugB,2.5,0,2
P4_A9,mutant,drugB,2.5,0,3
P4_A10,mutant,drugB,5,0,1
P4_A11,mutant,drugB,5,0,2
P4_A12,mutant,drugB,5,0,3
P4_B1,mutant,drugB,10,0,1
P4_B2,mutant,drugB,10,0,2
P4_B3,mutant,drugB,10,0,3
P4_B4,mutant,drugB,20,0,1
P4_B5,mutant,drugB,20,0,2
P4_B6,mutant,drugB,20,0,3
P4_B7,mutant,drugB,40,0,1
P4_B8,mutant,drugB,40,0,2
P4_B9,mutant,drugB,40,0,3
P4_B10,mutant,drugB,80,0,1
P4_B11,mutant,drugB,80,0,2
P4_B12,mutant,drugB,80,0,3
P4_C1,mutant,DMSO,0,0,1
P4_C2,mutant,DMSO,0,0,2
P4_C3,mutant,DMSO,0,0,3
P4_C4,mutant,drugA,1.25,2,1
P4_C5,mutant,drugA,1.25,2,2
P4_C6,mutant,drugA,1.25,2,3
P4_C7,mutant,drugA,2.5,2,1
P4_C8,mutant,drugA,2.5,2,2
P4_C9,mutant,drugA,2.5,2,3
P4_C10,mutant,drugA,5,2,1
P4_C11,mutant,drugA,5,2,2
P4_C12,mutant,drugA,5,2,3
P4_D1,mutant,drugA,10,2,1
P4_D2,mutant,drugA,10,2,2
P4_D3,mutant,drugA,10,2,3
P4_D4,mutant,drugA,20,2,1
P4_D5,mutant,drugA,20,2,2
P4_D6,mutant,drugA,20,2,3
P4_D7,mutant,drugA,40,2,1
P4_D8,mutant,drugA,40,2,2
P4_D9,mutant,drugA,40,2,3
P4_D10,mutant,drugA,80,2,1
P4_D11,mutant,drugA,80,2,2
P4_D12,mutant,drugA,80,2,3
P4_E1,mutant,drugB,1.25,2,1
P4_E2,mutant,drugB,1.25,2,2
P4_E3,mutant,drugB,1.25,2,3
P4_E4,mutant,drugB,2.5,2,1
P4_E5,mutant,drugB,2.5,2,2
P4_E6,mutant,drugB,2.5,2,3
P4_E7,mutant,drugB,5,2,1
P4_E8,mutant,drugB,5,2,2
P4_E9,mutant,drugB,5,2,3
P4_E10,mutant,drugB,10,2,1
P4_E11,mutant,drugB,10,2,2
P4_E12,mutant,drugB,10,2,3
P4_F1,mutant,drugB,20,2,1
P4_F2,mutant,drugB,20,2,2
P4_F3,mutant,drugB,20,2,3
P4_F4,mutant,drugB,40,2,1
P4_F5,mutant,drugB,40,2,2
P4_F6,mutant,drugB,40,2,3
P4_F7,mutant,drugB,80,2,1
P4_F8,mutant,drugB,80,2,2
P4_F9,mutant,drugB,80,2,3
P4_F10,mutant,DMSO,0,2,1
P4_F11,mutant,DMSO,0,2,2
P4_F12,mutant,DMSO,0,2,3
P4_G1,mutant,drugA,1.25,4,1
P4_G2,mutant,drugA,1.25,4,2
P4_G3,mutant,drugA,1.25,4,3
P4_G4,mutant,drugA,2.5,4,1
P4_G5,mutant,drugA,2.5,4,2
P4_G6,mutant,drugA,2.5,4,3
P4_G7,mutant,drugA,5,4,1
P4_G8,mutant,drugA,5,4,2
P4_G9,mutant,drugA,5,4,3
P4_G10,mutant,drugA,10,4,1
P4_G11,mutant,drugA,10,4,2
P4_G12,mutant,drugA,10,4,3
P4_H1,mutant,drugA,20,4,1
P4_H2,mutant,drugA,20,4,2
P4_H3,mutant,drugA,20,4,3
P4_H4,mutant,drugA,40,4,1
P4_H5,mutant,drugA,40,4,2
P4_H6,mutant,drugA,40,4,3
P4_H7,mutant,drugA,80,4,1
P4_H8,mutant,drugA,80,4,2
P4_H9,mutant,drugA,80,4,3
P4_H10,mutant,drugB,1.25,4,1
P4_H11,mutant,drugB,1.25,4,2
P4_H12,mutant,drugB,1.25,4,3
P5_A1,mutant,drugB,2.5,4,1
P5_A2,mutant,drugB,2.5,4,2
P5_A3,mutant,drugB,2.5,4,3
P5_A4,mutant,drugB,5,4,1
P5_A5,mutant,drugB,5,4,2
P5_A6,mutant,drugB,5,4,3
P5_A7,mutant,drugB,10,4,1
P5_A8,mutant,drugB,10,4,2
P5_A9,mutant,drugB,10,4,3
P5_A10,mutant,drugB,20,4,1
P5_A11,mutant,drugB,20,4,2
P5_A12,mutant,drugB,20,4,3
P5_B1,mutant,drugB,40,4,1
P5_B2,mutant,drugB,40,4,2
P5_B3,mutant,drugB,40,4,3
P5_B4,mutant,drugB,80,4,1
P5_B5,mutant,drugB,80,4,2
P5_B6,mutant,drugB,80,4,3
P5_B7,mutant,DMSO,0,4,1
P5_B8,mutant,DMSO,0,4,2
P5_B9,mutant,DMSO,0,4,3
P5_B10,mutant,drugA,1.25,8,1
P5_B11,mutant,drugA,1.25,8,2
P5_B12,mutant,drugA,1.25,8,3
P5_C1,mutant,drugA,2.5,8,1
P5_C2,mutant,drugA,2.5,8,2
P5_C3,mutant,drugA,2.5,8,3
P5_C4,mutant,drugA,5,8,1
P5_C5,mutant,drugA,5,8,2
P5_C6,mutant,drugA,5,8,3
P5_C7,mutant,drugA,10,8,1
P5_C8,mutant,drugA,10,8,2
P5_C9,mutant,drugA,10,8,3
P5_C10,mutant,drugA,20,8,1
P5_C11,mutant,drugA,20,8,2
P5_C12,mutant,drugA,20,8,3
P5_D1,mutant,drugA,40,8,1
P5_D2,mutant,drugA,40,8,2
P5_D3,mutant,drugA,40,8,3
P5_D4,mutant,drugA,80,8,1
P5_D5,mutant,drugA,80,8,2
P5_D6,mutant,drugA,80,8,3
P5_D7,mutant,drugB,1.25,8,1
P5_D8,mutant,drugB,1.25,8,2
P5_D9,mutant,drugB,1.25,8,3
P5_D10,mutant,drugB,2.5,8,1
P5_D11,mutant,drugB,2.5,8,2
P5_D12,mutant,drugB,2.5,8,3
P5_E1,mutant,drugB,5,8,1
P5_E2,mutant,drugB,5,8,2
P5_E3,mutant,drugB,5,8,3
P5_E4,mutant,drugB,10,8,1
P5_E5,mutant,drugB,10,8,2
P5_E6,mutant,drugB,10,8,3
P5_E7,mutant,drugB,20,8,1
P5_E8,mutant,drugB,20,8,2
P5_E9,mutant,drugB,20,8,3
P5_E10,mutant,drugB,40,8,1
P5_E11,mutant,drugB,40,8,2
P5_E12,mutant,drugB,40,8,3
P5_F1,mutant,drugB,80,8,1
P5_F2,mutant,drugB,80,8,2
P5_F3,mutant,drugB,80,8,3
P5_F4,mutant,DMSO,0,8,1
P5_F5,mutant,DMSO,0,8,2
P5_F6,mutant,DMSO,0,8,3
P5_F7,mutant,drugA,1.25,16,1
P5_F8,mutant,drugA,1.25,16,2
P5_F9,mutant,drugA,1.25,16,3
P5_F10,mutant,drugA,2.5,16,1
P5_F11,mutant,drugA,2.5,16,2
P5_F12,mutant,drugA,2.5,16,3
P5_G1,mutant,drugA,5,16,1
P5_G2,mutant,drugA,5,16,2
P5_G3,mutant,drugA,5,16,3
P5_G4,mutant,drugA,10,16,1
P5_G5,mutant,drugA,10,16,2
P5_G6,mutant,drugA,10,16,3
P5_G7,mutant,drugA,20,16,1
P5_G8,mutant,drugA,20,16,2
P5_G9,mutant,drugA,20,16,3
P5_G10,mutant,drugA,40,16,1
P5_G11,mutant,drugA,40,16,2
P5_G12,mutant,drugA,40,16,3
P5_H1,mutant,drugA,80,16,1
P5_H2,mutant,drugA,80,16,2
P5_H3,mutant,drugA,80,16,3
P5_H4,mutant,drugB,1.25,16,1
P5_H5,mutant,drugB,1.25,16,2
P5_H6,mutant,drugB,1.25,16,3
P5_H7,mutant,drugB,2.5,16,1
P5_H8,mutant,drugB,2.5,16,2
P5_H9,mutant,drugB,2.5,16,3
P5_H10,mutant,drugB,5,16,1
P5_H11,mutant,drugB,5,16,2
P5_H12,mutant,drugB,5,16,3
P6_A1,mutant,drugB,10,16,1
P6_A2,mutant,drugB,10,16,2
P6_A3,mutant,drugB,10,16,3
P6_A4,mutant,drugB,20,16,1
P6_A5,mutant,drugB,20,16,2
P6_A6,mutant,drugB,20,16,3
P6_A7,mutant,drugB,40,16,1
P6_A8,mutant,drugB,40,16,2
P6_A9,mutant,drugB,40,16,3
P6_A10,mutant,drugB,80,16,1
P6_A11,mutant,drugB,80,16,2
P6_A12,mutant,drugB,80,16,3
P6_B1,mutant,DMSO,0,16,1
P6_B2,mutant,DMSO,0,16,2
P6_B3,mutant,DMSO,0,16,3
P6_B4,mutant,drugA,1.25,24,1
P6_B5,mutant,drugA,1.25,24,2
P6_B6,mutant,drugA,1.25,24,3
P6_B7,mutant,drugA,2.5,24,1
P6_B8,mutant,drugA,2.5,24,2
P6_B9,mutant,drugA,2.5,24,3
P6_B10,mutant,drugA,5,24,1
P6_B11,mutant,drugA,5,24,2
P6_B12,mutant,drugA,5,24,3
P6_C1,mutant,drugA,10,24,1
P6_C2,mutant,drugA,10,24,2
P6_C3,mutant,drugA,10,24,3
P6_C4,mutant,drugA,20,24,1
P6_C5,mutant,drugA,20,24,2
P6_C6,mutant,drugA,20,24,3
P6_C7,mutant,drugA,40,24,1
P6_C8,mutant,drugA,40,24,2
P6_C9,mutant,drugA,40,24,3
P6_C10,mutant,drugA,80,24,1
P6_C11,mutant,drugA,80,24,2
P6_C12,mutant,drugA,80,24,3
P6_D1,mutant,drugB,1.25,24,1
P6_D2,mutant,drugB,1.25,24,2
P6_D3,mutant,drugB,1.25,24,3
P6_D4,mutant,drugB,2.5,24,1
P6_D5,mutant,drugB,2.5,24,2
P6_D6,mutant,drugB,2.5,24,3
P6_D7,mutant,drugB,5,24,1
P6_D8,mutant,drugB,5,24,2
P6_D9,mutant,drugB,5,24,3
P6_D10,mutant,drugB,10,24,1
P6_D11,mutant,drugB,10,24,2
P6_D12,mutant,drugB,10,24,3
P6_E1,mutant,drugB,20,24,1
P6_E2,mutant,drugB,20,24,2
P6_E3,mutant,drugB,20,24,3
P6_E4,mutant,drugB,40,24,1
P6_E5,mutant,drugB,40,24,2
P6_E6,mutant,drugB,40,24,3
P6_E7,mutant,drugB,80,24,1
P6_E8,mutant,drugB,80,24,2
P6_E9,mutant,drugB,80,24,3
P6_E10,mutant,DMSO,0,24,1
P6_E11,mutant,DMSO,0,24,2
P6_E12,mutant,DMSO,0,24,3
