uniqID,GeneID,locus_tag,UniProtID,type,localz,gene,product,KG_FG,KG_FM,KG_PC,KG_PG,KG_PW,UP_FM,UP_PW,UP_KW
g0012,887083,Rv0012,L0T243,CDS,Plasma Membrane,,membrane protein,,,,,,UPF0749 family,,Reference proteome
g0013,885955,Rv0013,P9WN35,CDS,Cytoplasmic,trpG,Anthranilate synthase component 2,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis,,Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Glutamine amidotransferase;Lyase;Reference proteome;Tryptophan biosynthesis
g0014,887072,Rv0014c,P9WI81,CDS,Plasma Membrane,pknB,Serine/threonine-protein kinase PknB,metabolism,Protein kinases,,,,protein kinase superfamily. Ser/Thr protein kinase family,,3D-structure;Acetylation;ATP-binding;Cell membrane;Direct protein sequencing;Kinase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix;Virulence
g0015,885953,Rv0015c,P9WI83,CDS,Plasma Membrane,pknA,Serine/threonine-protein kinase PknA,metabolism,Protein kinases,,,,protein kinase superfamily. Ser/Thr protein kinase family,,3D-structure;ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transferase;Transmembrane;Transmembrane helix;Virulence
g0016,887078,Rv0016c,P9WKD1,CDS,Plasma Membrane,pbpA,"Peptidoglycan D,D-transpeptidase PbpA",metabolism,Peptidoglycan biosynthesis and degradation proteins,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,transpeptidase family,Cell wall biogenesis; peptidoglycan biosynthesis,3D-structure;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Disulfide bond;Hydrolase;Membrane;Peptidoglycan synthesis;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix
g0017,887075,Rv0017c,P9WN99,CDS,Plasma Membrane,rodA,Peptidoglycan glycosyltransferase RodA,metabolism; genetic information processing; signaling and cellular processes,Glycosyltransferases; Peptidoglycan biosynthesis and degradation proteins; Chromosome and associated proteins; Transporters,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,SEDS family,Cell wall biogenesis; peptidoglycan biosynthesis,Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix
g0018,887070,Rv0018c,P9WHW5,CDS,Plasma Membrane,pstP,Serine/threonine protein phosphatase PstP,metabolism,Protein phosphatases and associated proteins,,,,,,3D-structure;Cell membrane;Hydrolase;Manganese;Membrane;Metal-binding;Phosphoprotein;Protein phosphatase;Reference proteome;Transmembrane;Transmembrane helix
g0019,887079,Rv0019c,P9WJB5,CDS,Plasma Membrane,fhaB,FHA domain-containing protein FhaB,,,,,,,,Cell membrane;Membrane;Phosphoprotein;Reference proteome;Transmembrane;Transmembrane helix
g0020,887067,Rv0020c,P71590,CDS,Cytoplasmic,fhaA,FHA domain-containing protein FhaA,,,,,,,,3D-structure;Cytoplasm;Phosphoprotein;Reference proteome
g0021,887066,Rv0021c,P71591,CDS,Cytoplasmic,,Nitronate monooxygenase,,,Metabolism,Energy metabolism,Nitrogen metabolism,,,Flavoprotein;FMN;Oxidoreductase;Reference proteome
g0022,887071,Rv0022c,P71592,CDS,Cytoplasmic,whiB5,Transcriptional regulator WhiB5,genetic information processing,Transcription factors,,,,WhiB family,,4Fe-4S;Activator;Cytoplasm;Disulfide bond;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Transcription;Transcription regulation;Virulence
g0023,887062,Rv0023,P9WMI3,CDS,Cytoplasmic,,Uncharacterized HTH-type transcriptional regulator Rv0023,,,,,,,,DNA-binding;Reference proteome;Transcription;Transcription regulation
g0024,887061,Rv0024,P71594,CDS,Extracellular,,NLP/P60 family protein,,,,,,peptidase C40 family,,Hydrolase;Protease;Reference proteome;Thiol protease
g0025,887060,Rv0025,P9WMA1,CDS,Extracellular,,Uncharacterized protein Rv0025,,,,,,To M.tuberculosis Rv0026 and Rv0739,,Reference proteome
g0026,887057,Rv0026,P9WMB1,CDS,Extracellular,,Uncharacterized protein Rv0026,,,,,,To M.tuberculosis Rv0025 and Rv0739,,Reference proteome
g0027,887054,Rv0027,P9WM99,CDS,Extracellular,,Uncharacterized protein Rv0027,,,,,,,,Reference proteome
g0028,885812,Rv0028,P9WM97,CDS,Cytoplasmic,,Uncharacterized protein Rv0028,,,,,,,,Acetylation;Reference proteome
g0029,,Rv0028A,P0DMM2,CDS,Cytoplasmic,,Uncharacterized protein Rv0028A,,,,,,,,Reference proteome
g0030,887053,Rv0029,P71599,CDS,Cytoplasmic,,Transmembrane protein,,,,,,,,Reference proteome
g0031,887051,Rv0030,P9WM95,CDS,Cytoplasmic,,Uncharacterized protein Rv0030,,,,,,,,Reference proteome
g0032,,Rv0031,P71601,CDS,Cytoplasmic,,Possible remnant of a transposase,,,,,,,,Reference proteome
g0033,887050,Rv0032,P9WQ85,CDS,Cytoplasmic,bioF2,Putative 8-amino-7-oxononanoate synthase 2,metabolism,Amino acid related enzymes,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism,In the C-terminal section; belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. BioF subfamily,,Acyltransferase;Pyridoxal phosphate;Reference proteome;Transferase
g0034,887052,Rv0033,I6WX95,CDS,Cytoplasmic,acpA,acyl carrier protein AcpA,,,,,,,,Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Phosphopantetheine;Phosphoprotein;Reference proteome
g0035,887046,Rv0034,P9WM93,CDS,Cytoplasmic,,Uncharacterized protein Rv0034,,,,,,,,Reference proteome
g0036,887048,Rv0035,L7N699,CDS,Cytoplasmic,fadD34,fatty-acid--CoA ligase FadD34,,,,,,ATP-dependent AMP-binding enzyme family,,Ligase;Reference proteome
g0037,887043,Rv0036c,P9WM91,CDS,Cytoplasmic,,Uncharacterized protein Rv0036c,,,,,,,,Reference proteome
g0038,887042,Rv0037c,P9WJY1,CDS,Plasma Membrane,,Uncharacterized MFS-type transporter Rv0037c,,,,,,major facilitator superfamily,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0039,887045,Rv0038,P9WFK5,CDS,Cytoplasmic,,UPF0301 protein Rv0038,genetic information processing,Transcription factors,,,,UPF0301 (AlgH) family,,Reference proteome
g0040,887038,Rv0039c,P9WM89,CDS,Plasma Membrane,,Uncharacterized protein Rv0039c,,,,,,To M.leprae ML0030,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0041,887037,Rv0040c,P9WIM9,CDS,Extracellular,mtc28,Proline-rich 28 kDa antigen,,,,,,To M.leprae ML0031,,3D-structure;Reference proteome;Signal
g0042,887040,Rv0041,P9WFV1,CDS,Cytoplasmic,leuS,Leucine--tRNA ligase,metabolism; genetic information processing,Amino acid related enzymes; Transfer RNA biogenesis; Mitochondrial biogenesis,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,class-I aminoacyl-tRNA synthetase family,,3D-structure;Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
g0043,887034,Rv0042c,P71699,CDS,Cytoplasmic,,transcriptional regulator,,,,,,,,Reference proteome
g0044,887032,Rv0043c,P9WMG9,CDS,Cytoplasmic,,Uncharacterized HTH-type transcriptional regulator Rv0043c,,,,,,,,DNA-binding;Reference proteome;Transcription;Transcription regulation
g0045,887030,Rv0044c,P71701,CDS,Cytoplasmic,,oxidoreductase,,,,,,,,Flavoprotein;FMN;Monooxygenase;Oxidoreductase;Reference proteome
g0046,887029,Rv0045c,I6XU97,CDS,Cytoplasmic,,Esterase Rv0045c,,,,,,AB hydrolase superfamily,,3D-structure;Allosteric enzyme;Hydrolase;Reference proteome;Serine esterase
g0047,887028,Rv0046c,P9WKI1,CDS,Cytoplasmic,ino1,Inositol-3-phosphate synthase,,,Metabolism,Carbohydrate metabolism; Biosynthesis of other secondary metabolites,Inositol phosphate metabolism; Streptomycin biosynthesis,myo-inositol 1-phosphate synthase family,,3D-structure;Acetylation;Inositol biosynthesis;Isomerase;Isopeptide bond;NAD;Reference proteome;Ubl conjugation
g0048,887031,Rv0047c,P71704,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,3D-structure;Coiled coil;Reference proteome
g0049,887027,Rv0048c,P9WM87,CDS,Plasma Membrane,,Uncharacterized protein Rv0048c,,,,,,,,Cell membrane;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix
g0050,887024,Rv0049,P9WM85,CDS,Cytoplasmic,,Uncharacterized protein Rv0049,,,,,,,,Reference proteome
g0051,887065,Rv0050,P71707,CDS,Plasma Membrane,ponA1,Penicillin-binding protein A1,,,,,,In the N-terminal section; belongs to the glycosyltransferase 51 family; In the C-terminal section; belongs to the transpeptidase family,Cell wall biogenesis; peptidoglycan biosynthesis,3D-structure;Carboxypeptidase;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Transferase;Transmembrane;Transmembrane helix
g0052,887018,Rv0051,P71708,CDS,Plasma Membrane,,transmembrane protein,,,,,,glycosyltransferase 87 family,,Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
g0053,887015,Rv0052,I6Y6S3,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g0054,887020,Rv0053,P9WH31,CDS,Cytoplasmic,rpsF,Small ribosomal subunit protein bS6,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bS6 family,,3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g0055,887013,Rv0054,P9WGD5,CDS,Cytoplasmic,ssb,Single-stranded DNA-binding protein,genetic information processing,DNA replication proteins; DNA repair and recombination proteins; Mitochondrial biogenesis,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination,,,3D-structure;DNA-binding;Reference proteome
g0056,887022,Rv0055,P9WH49,CDS,Extracellular,rpsR1,Small ribosomal subunit protein bS18A,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bS18 family,,3D-structure;Metal-binding;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;Zinc
g0057,887010,Rv0056,P9WH79,CDS,Cytoplasmic,rplI,Large ribosomal subunit protein bL9,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bL9 family,,3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g0058,887008,Rv0057,P9WM77,CDS,Extracellular,,Uncharacterized protein Rv0057,,,,,,,,Reference proteome;Signal
g0059,887009,Rv0058,P9WMR3,CDS,Cytoplasmic,dnaB,Replicative DNA helicase DnaB,genetic information processing,DNA replication proteins,Genetic Information Processing,Replication and repair,DNA replication,helicase family. DnaB subfamily,,3D-structure;ATP-binding;Autocatalytic cleavage;DNA replication;DNA-binding;Endonuclease;Helicase;Hydrolase;Intron homing;Isomerase;Nuclease;Nucleotide-binding;Primosome;Protein splicing;Reference proteome;Repeat
g0060,887006,Rv0059,O53604,CDS,Extracellular,darT,DNA ADP-ribosyl transferase,,,,,,DarT ADP-ribosyltransferase family,,3D-structure;DNA-binding;Glycosyltransferase;Nucleotidyltransferase;Reference proteome;Toxin-antitoxin system;Transferase
g0061,887004,Rv0060,O53605,CDS,Cytoplasmic,darG,DNA ADP-ribosyl glycohydrolase,,,,,,DarG ADP-ribosyl glycohydrolase family,,3D-structure;Hydrolase;Reference proteome;Toxin-antitoxin system
g0062,14515843,Rv0061c,I6X8E6,CDS,Extracellular,,Secreted protein,,,,,,,,Reference proteome;Signal
g0063,887007,Rv0062,Q79G13,CDS,Extracellular,celA1,Glucanase,,,Metabolism; Environmental Information Processing,Carbohydrate metabolism; Signal transduction,Starch and sucrose metabolism; Two-component system,glycosyl hydrolase family 6,,3D-structure;Carbohydrate metabolism;Cellulose degradation;Glycosidase;Hydrolase;Membrane;Polysaccharide degradation;Reference proteome;Transmembrane;Transmembrane helix
g0064,886999,Rv0063,O53608,CDS,Extracellular,,oxidoreductase,,,,,,oxygen-dependent FAD-linked oxidoreductase family,,FAD;Flavoprotein;Oxidoreductase;Reference proteome
g0065,19394667,Rv0063a,,CDS,,,hypothetical protein,,,,,,,,
g0066,886996,Rv0064,P9WFL5,CDS,Plasma Membrane,,UPF0182 protein Rv0064,,,,,,UPF0182 family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0067,14515844,Rv0064A,P0CW29,CDS,Cytoplasmic,vapB1,Putative antitoxin VapB1,signaling and cellular processes,Prokaryotic defense system,,,,,,Reference proteome;Toxin-antitoxin system
g0068,886993,Rv0065,P9WFC1,CDS,Cytoplasmic,vapC1,Ribonuclease VapC1,signaling and cellular processes,Prokaryotic defense system,,,,PINc/VapC protein family,,Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Toxin-antitoxin system
g0069,887016,Rv0066c,O53611,CDS,Cytoplasmic,icd-2,Isocitrate dehydrogenase [NADP] 2,,,Metabolism; Cellular Processes,Carbohydrate metabolism; Energy metabolism; Metabolism of other amino acids; Transport and catabolism,Citrate cycle (TCA cycle); Other carbon fixation pathways; Glutathione metabolism; Peroxisome,monomeric-type IDH family,,3D-structure;Glyoxylate bypass;Magnesium;Metal-binding;NADP;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle
g0070,886991,Rv0067c,O53612,CDS,Cytoplasmic,,transcriptional regulator,,,,,,,,DNA-binding;Reference proteome;Transcription;Transcription regulation
g0071,886989,Rv0068,O53613,CDS,Cytoplasmic,,oxidoreductase,,,,,,short-chain dehydrogenases/reductases (SDR) family,,Oxidoreductase;Reference proteome
g0072,886986,Rv0069c,P9WGT5,CDS,Cytoplasmic,sdaA,L-serine dehydratase,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism",iron-sulfur dependent L-serine dehydratase family,Carbohydrate biosynthesis; gluconeogenesis,4Fe-4S;Gluconeogenesis;Iron;Iron-sulfur;Lyase;Metal-binding;Reference proteome
g0073,886983,Rv0070c,P9WGI7,CDS,Cytoplasmic,glyA2,Serine hydroxymethyltransferase 2,,,Metabolism; Organismal Systems,Carbohydrate metabolism; Energy metabolism; Amino acid metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins; Digestive system,"Glyoxylate and dicarboxylate metabolism; Methane metabolism; Glycine, serine and threonine metabolism; Cyanoamino acid metabolism; One carbon pool by folate; Folate transport and metabolism",SHMT family,One-carbon metabolism; tetrahydrofolate interconversion; Amino-acid biosynthesis; glycine biosynthesis; glycine from L-serine,Amino-acid biosynthesis;Cytoplasm;One-carbon metabolism;Pyridoxal phosphate;Reference proteome;Transferase
g0074,886988,Rv0071,O53616,CDS,Cytoplasmic,,maturase,,,,,,,,Reference proteome
g0075,886984,Rv0072,P9WG17,CDS,Plasma Membrane,,Uncharacterized ABC transporter permease Rv0072,signaling and cellular processes,Transporters,,,,ABC-4 integral membrane protein family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g0076,886977,Rv0073,P9WQK5,CDS,Plasma Membrane,,Uncharacterized ABC transporter ATP-binding protein Rv0073,signaling and cellular processes,Transporters,,,,ABC transporter superfamily,,ATP-binding;Isopeptide bond;Nucleotide-binding;Reference proteome;Transport;Ubl conjugation
g0077,886976,Rv0074,O53619,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g0078,886982,Rv0075,O53620,CDS,Cytoplasmic,,cysteine-S-conjugate beta-lyase,metabolism,Amino acid related enzymes,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Cysteine and methionine metabolism; Selenocompound metabolism,class-II pyridoxal-phosphate-dependent aminotransferase family. MalY/PatB cystathionine beta-lyase subfamily,,Aminotransferase;Lyase;Pyridoxal phosphate;Reference proteome;Transferase
g0079,886992,Rv0076c,O53621,CDS,Plasma Membrane,,membrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0080,886969,Rv0077c,O53622,CDS,Cytoplasmic,,oxidoreductase,,,,,,,,Reference proteome
g0081,886990,Rv0078,O53623,CDS,Cytoplasmic,,transcriptional regulator,,,,,,,,3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
g0082,3205053,Rv0078A,L7N686,CDS,Cytoplasmic,,Nucleotidyl transferase AbiEii/AbiGii toxin family protein,,,,,,,,3D-structure;Reference proteome
g0083,14515845,Rv0078B,I6X8G2,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,3D-structure;Reference proteome
g0084,886995,Rv0079,P9WMA9,CDS,Cytoplasmic,,Dormancy associated translation inhibitor,,,,,,,,Reference proteome;Virulence
g0085,886966,Rv0080,P9WMA5,CDS,Cytoplasmic,,Uncharacterized protein Rv0080,,,,,,,,Reference proteome
g0086,887012,Rv0081,P9WMI7,CDS,Cytoplasmic,,Uncharacterized HTH-type transcriptional regulator Rv0081,,,,,,,,3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
g0087,886968,Rv0082,I6XUD2,CDS,Cytoplasmic,,oxidoreductase,,,,,,complex I 20 kDa subunit family,,4Fe-4S;Iron;Iron-sulfur;Metal-binding;Reference proteome
g0088,886965,Rv0083,P9WIW3,CDS,Plasma Membrane,,Uncharacterized protein Rv0083,,,,,,complex I subunit 4 family,,Cell membrane;Membrane;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
g0089,886959,Rv0084,Q10881,CDS,Plasma Membrane,hycD,formate hydrogenlyase HycD,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0090,886973,Rv0085,P9WM75,CDS,Plasma Membrane,hycP,Uncharacterized protein Rv0085,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0091,886963,Rv0086,Q10883,CDS,Plasma Membrane,hycQ,hydrogenase HycQ,,,,,,,,Cell membrane;Membrane;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix
g0092,886956,Rv0087,Q10884,CDS,Cytoplasmic,hycE,formate hydrogenase HycE,,,,,,complex I 49 kDa subunit family,,4Fe-4S;Iron;Iron-sulfur;Magnesium;Metal-binding;NAD;Oxidoreductase;Reference proteome;Transport
g0093,886954,Rv0088,P9WM73,CDS,Cytoplasmic,,Uncharacterized protein Rv0088,,,,,,,,Reference proteome
g0094,886949,Rv0089,P9WK03,CDS,Plasma Membrane,,Uncharacterized methyltransferase Rv0089,,,,,,methyltransferase superfamily,,Methyltransferase;Reference proteome;Transferase
g0095,886961,Rv0090,P9WM71,CDS,Plasma Membrane,,Uncharacterized protein Rv0090,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0096,886953,Rv0091,P9WJM3,CDS,Cytoplasmic,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism,PNP/UDP phosphorylase family. MtnN subfamily,Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; S-methyl-5-thio-alpha-D-ribose 1-phosphate from S-methyl-5'-thioadenosine (hydrolase route),Amino-acid biosynthesis;Hydrolase;Methionine biosynthesis;Reference proteome
g0097,886946,Rv0092,P9WPU1,CDS,Plasma Membrane,ctpA,Copper-exporting P-type ATPase,,,,,,cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,,Acetylation;ATP-binding;Cell membrane;Copper;Copper transport;Ion transport;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
g0098,886945,Rv0093c,P9WM69,CDS,Plasma Membrane,,Uncharacterized protein Rv0093c,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0099,886943,Rv0094c,Q50655,CDS,Cytoplasmic,,HNH nuclease domain-containing protein,,,,,,,,Reference proteome
g0100,886940,Rv0095c,Q10891,CDS,Cytoplasmic,,Putative uncharacterized protein Rv0095c,,,,,,Rv1128c/1148c/1588c/1702c/1945/3466 family,,Reference proteome
g0101,886938,Rv0096,P9WI49,CDS,Extracellular,PPE1,Uncharacterized PPE family protein PPE1,,,,,,mycobacterial PPE family,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0102,886942,Rv0097,P9WG83,CDS,Cytoplasmic,,(3R)-3-[(carboxymethyl)amino]fatty acid oxygenase/decarboxylase,,,,,,TfdA dioxygenase family,,3D-structure;Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome
g0103,886935,Rv0098,P9WM67,CDS,Cytoplasmic,fcoT,(2E)-enoyl-[ACP] glycyltransferase,metabolism,Polyketide biosynthesis proteins,,,,FcoT family,,3D-structure;Fatty acid metabolism;Hydrolase;Lipid metabolism;Lyase;Reference proteome
g0104,886933,Rv0099,P9WQ55,CDS,Cytoplasmic,fadD10,Medium/long-chain-fatty-acid--[acyl-carrier-protein] ligase FadD10,metabolism,Lipid biosynthesis proteins; Polyketide biosynthesis proteins,,,,ATP-dependent AMP-binding enzyme family,Lipid metabolism; fatty acid metabolism,3D-structure;ATP-binding;Cytoplasm;Fatty acid metabolism;Ligase;Lipid metabolism;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
g0105,886931,Rv0100,P9WM65,CDS,Cytoplasmic,,Acyl carrier protein Rv0100,metabolism,Polyketide biosynthesis proteins,,,,acyl carrier protein (ACP) family,Lipid metabolism; fatty acid metabolism,Fatty acid metabolism;Lipid metabolism;Phosphopantetheine;Phosphoprotein;Reference proteome
g0106,886951,Rv0101,Q10896,CDS,Cytoplasmic,nrp,Isonitrile lipopeptide synthase,metabolism,Polyketide biosynthesis proteins,,,,ATP-dependent AMP-binding enzyme family,,3D-structure;ATP-binding;Ligase;Nucleotide-binding;Phosphopantetheine;Phosphoprotein;Reference proteome;Transferase
g0107,886926,Rv0102,P9WM63,CDS,Plasma Membrane,,Uncharacterized protein Rv0102,,,,,,To M.leprae ML1998,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0108,886928,Rv0103c,P9WPT9,CDS,Plasma Membrane,ctpB,Cation-transporting P-type ATPase B,,,,,,cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,,ATP-binding;Cell membrane;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix
g0109,886923,Rv0104,P9WM61,CDS,Cytoplasmic,,Uncharacterized protein Rv0104,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0110,886920,Rv0105c,P9WHB1,CDS,Cytoplasmic,rpmB1,Large ribosomal subunit protein bL28A,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bL28 family,,Reference proteome;Ribonucleoprotein;Ribosomal protein
g0111,886919,Rv0106,P9WPI5,CDS,Cytoplasmic,,Zinc chaperone Rv0106,,,,,,SIMIBI class G3E GTPase family. ZNG1 subfamily,,Chaperone;GTP-binding;Hydrolase;Nucleotide-binding;Reference proteome
g0112,886915,Rv0107c,P9WPS5,CDS,Plasma Membrane,ctpI,Probable cation-transporting ATPase I,,,,,,cation transport ATPase (P-type) (TC 3.A.3) family,,ATP-binding;Cell membrane;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix
g0113,886918,Rv0108c,O53630,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g0114,886912,Rv0109,L0T2H7,CDS,Extracellular,PE_PGRS1,PE-PGRS family protein PE_PGRS1,,,,,,mycobacterial PE family. PGRS subfamily,,Cell wall;Host mitochondrion;Reference proteome;Secreted;Virulence
