uniqID,dose,time,cmp_cond,cmp1,cmp2,comparison,FC1,FC2,FCdiff,P1,P2,Pdiff,Q1,Q2,Qdiff,signf1,signf2,effect1,effect2,thrsh,signf,effect
g0159,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1106856760638486,0.0964167730873839,0.0142689029764647,0.2329482896953426,0.2119910181440559,0.020957271551286683,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g0878,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.3583447705058624,-0.4424572766487005,0.8008020471545629,0.5810204437409685,0.8005565174594568,-0.21953607371848827,0.1532206666026968,0.022934781924007,0.1302858846786898,False,False,none,none,"ols prediction, 99%",False,none
g0878,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.40483352283736,0.4843968734285289,-0.07956335059116887,0.6737016683558548,0.9105483169316144,-0.23684664857575966,0.2883507869918377,0.3238460280227042,-0.03549524103086649,False,False,none,none,"ols prediction, 99%",False,none
g0903,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1437955163931548,-0.1185730928742856,0.2623686092674404,0.7017553099638827,0.4011039051576632,0.3006514048062195,0.1532206666026968,0.022934781924007,0.1302858846786898,False,False,none,none,"ols prediction, 99%",False,none
g0903,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1121114112954799,-0.0327455315337488,0.1448569428292287,0.461675261124154,0.0932368745696987,0.3684383865544553,0.2726190249041051,0.0694642206655821,0.203154804238523,False,False,none,none,"ols prediction, 99%",False,none
g0953,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.2516557082518114,0.0203473003996164,0.23130840785219497,0.2755252482153945,0.0193307600974426,0.25619448811795187,0.1064912479220958,0.0009535818768497,0.1055376660452461,False,False,none,none,"ols prediction, 99%",False,none
g0953,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.7804223117230968,0.5312880661337758,0.24913424558932107,0.7164424026263196,0.55527790618132,0.16116449644499964,0.2883507869918377,0.2279189717949896,0.06043181519684809,False,False,none,none,"ols prediction, 99%",False,none
g0958,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.3683201493812404,0.0091551572816044,-0.3774753066628448,1.0619534517646605,0.0128426127538586,1.049110839010802,0.1532206666026968,0.0009535818768497,0.15226708472584707,False,False,none,none,"ols prediction, 99%",False,none
g0958,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.4991976189519604,-0.2431385827389576,-0.2560590362130028,1.279576899184539,0.7091969093867213,0.5703799897978178,0.3501579734702463,0.3238460280227042,0.026311945447542118,False,False,none,none,"ols prediction, 99%",False,none
g1200,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-1.028915701040785,-2.374975916276276,1.3460602152354908,0.125322552721707,0.2905871395506104,-0.16526458682890338,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g1200,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-1.757604355813073,-0.6981079258977729,-1.0594964299153,0.2180419106685364,0.083345817810871,0.1346960928576654,0.1337210249685005,0.0694642206655821,0.0642568043029184,False,False,none,none,"ols prediction, 99%",False,none
g1227,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.0798354069984608,-0.1483224867992021,0.22815789379766288,0.1899986701038454,0.5256957189950279,-0.33569704889118246,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g1227,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.0266251918379332,0.0296529150361966,-0.056278106874129805,0.0830673480719314,0.0899924290929799,-0.006925081021048496,0.0708773541101012,0.0694642206655821,0.001413133444519099,False,False,none,none,"ols prediction, 99%",False,none
